DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2015.08.03,50760,50780,50160,50345,826,0,0
2015.08.04,50625,50710,49925,50215,1161,0,0
2015.08.05,50570,50985,50230,50330,1271,0,0
2015.08.06,50065,50620,49635,50110,1926,0,0
2015.08.07,49870,50965,48400,48400,3661,0,0
2015.08.10,49605,50530,49560,50300,1246,0,0
2015.08.11,50100,51010,49225,50765,2906,0,0
2015.08.12,50310,50435,48940,49415,2096,0,0
2015.08.13,49545,49750,48630,48660,1356,0,0
2015.08.14,48680,49035,48285,48320,1141,0,0
2015.08.17,48370,48645,48000,48145,1066,0,0
2015.08.18,47930,48960,47450,48075,2876,0,0
2015.08.19,47990,48015,46770,47260,1761,0,0
2015.08.20,46970,47575,46525,47280,1791,0,0
2015.08.21,46825,46970,46135,46150,996,0,0
2015.08.24,44095,45945,43205,45220,4356,0,0
2015.08.25,46220,46660,44735,44775,2406,0,0
2015.08.26,45240,46875,45130,46780,1951,0,0
2015.08.27,46980,48675,46880,48540,2031,0,0
2015.08.28,48125,48490,47395,47700,1766,0,0
2015.08.31,47340,47340,46110,46930,2051,0,0
2015.09.01,46000,46540,45640,46110,1691,0,0
2015.09.02,46300,47240,45650,47130,2351,0,0
2015.09.03,47060,48080,46745,47800,1931,0,0
2015.09.04,47120,47665,46765,47005,1686,0,0
2015.09.08,47425,47795,47085,47255,1251,0,0
2015.09.09,47925,48350,46970,47135,1971,0,0
2015.09.10,45500,47230,45325,47020,2291,0,0
2015.09.11,46775,47200,46530,46930,1186,0,0
2015.09.14,46810,48945,46605,48615,2876,0,0
2015.09.15,48250,48305,47445,47705,1176,0,0
2015.09.16,47815,49120,47750,48855,1701,0,0
2015.09.17,48400,49780,48205,48975,2576,0,0
2015.09.18,48455,48640,47180,47450,1916,0,0
2015.09.21,47660,47825,46670,46985,1636,0,0
2015.09.22,46400,46795,45515,46595,2366,0,0
2015.09.23,46755,46945,45200,45270,2006,0,0
2015.09.24,44940,45840,44475,45685,1986,0,0
2015.09.25,46100,46260,44740,44835,1776,0,0
2015.09.28,44410,44635,43975,44210,1121,0,0
2015.09.29,44385,44710,44130,44370,1146,0,0
2015.09.30,45125,45645,44655,45125,1981,0,0
2015.10.01,45200,45655,44875,45605,1156,0,0
2015.10.02,45790,47370,45120,47305,2986,0,0
2015.10.05,47530,48090,47510,47660,1031,0,0
2015.10.06,47490,48170,47450,47540,1391,0,0
2015.10.07,47920,49315,47920,48855,1856,0,0
2015.10.08,48680,49315,48550,49050,1161,0,0
2015.10.09,50300,50585,49545,50235,2016,0,0
2015.10.13,49500,49500,47900,48025,1726,0,0
2015.10.14,48170,48515,47365,47425,1556,0,0
2015.10.15,47755,48005,47025,47945,1771,0,0
2015.10.16,48005,48475,47170,47630,2236,0,0
2015.10.19,47875,48260,47580,48025,1211,0,0
2015.10.20,47885,48185,47280,47670,1596,0,0
2015.10.21,47610,47875,47250,47480,1121,0,0
2015.10.22,47610,48615,47570,48590,1111,0,0
2015.10.23,48785,49565,47995,48070,2426,0,0
2015.10.26,48280,48560,47765,47860,1171,0,0
2015.10.27,47640,47985,47340,47530,1181,0,0
2015.10.28,47635,48070,46920,47225,1891,0,0
2015.10.29,46915,47180,46080,46150,1436,0,0
2015.10.30,46095,46565,45885,46305,1151,0,0
2015.11.03,46800,49165,46720,49065,2626,0,0
2015.11.04,49325,49755,47975,48275,2511,0,0
2015.11.05,48320,48615,47925,48410,1291,0,0
2015.11.06,48110,48375,46830,47510,2491,0,0
2015.11.09,47535,47575,46445,46450,1176,0,0
2015.11.10,46185,47145,45780,47005,1911,0,0
2015.11.11,46850,47715,46790,47480,1221,0,0
2015.11.12,47700,47925,47015,47030,1151,0,0
2015.11.13,46705,47300,46645,46800,1216,0,0
2015.11.16,46815,47410,46725,47370,816,0,0
2015.11.17,47765,48090,47435,47460,1006,0,0
2015.11.18,47305,48320,47265,47915,1501,0,0
2015.11.19,48335,48735,48015,48665,1111,0,0
2015.11.23,48685,49085,48175,48220,1356,0,0
2015.11.24,48030,48695,47680,48620,1441,0,0
2015.11.25,48055,48240,46900,47095,1721,0,0
2015.11.26,47155,47440,47080,47295,581,0,0
2015.11.27,47020,47160,45845,45900,1511,0,0
2015.11.30,45800,46095,45210,45230,1201,0,0
2015.12.01,45460,45615,44815,44825,966,0,0
2015.12.02,44925,45535,44710,44800,1526,0,0
2015.12.03,46700,47815,46200,46700,3231,0,0
2015.12.04,46600,46850,45500,46200,2301,0,0
2015.12.07,46000,46900,46000,46000,1801,0,0
2015.12.08,46000,46005,45000,45010,1021,0,0
2015.12.09,45950,47190,45810,46700,2011,0,0
2015.12.10,46700,47010,46060,46400,1601,0,0
2015.12.11,45700,46700,45525,45925,2126,0,0
2015.12.14,46000,46000,45200,45400,1001,0,0
2015.12.15,45500,46170,45450,45590,1351,0,0
2015.12.16,45475,46335,44735,46220,2456,0,0
2015.12.17,46200,47065,45455,45500,2521,0,0
2015.12.18,44910,45195,44315,44380,1231,0,0
2015.12.21,44530,44900,43825,43945,1566,0,0
2015.12.22,43985,44260,43740,44150,876,0,0
2015.12.23,44350,44890,44270,44600,991,0,0
2015.12.28,44315,44610,44280,44380,596,0,0
