DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2016.07.12,44.55,47.65,44.5,47.33,353,353,0
2016.07.13,47.3,47.35,45.25,45.79,270,270,0
2016.07.14,45.81,46.48,45.64,46.19,131,131,0
2016.07.15,46.2,47.02,45.76,46.91,182,182,0
2016.07.18,46.78,46.81,45.52,45.88,169,169,0
2016.07.19,45.9,46.36,45.26,45.39,170,170,0
2016.07.20,45.38,46.1,44.55,45.63,286,286,0
2016.07.21,45.62,46.05,44.5,44.51,200,200,0
2016.07.22,44.59,44.93,43.72,44.21,205,205,0
2016.07.25,44.15,44.33,42.95,43.01,163,163,0
2016.07.26,43.04,43.34,42.35,42.65,160,160,0
2016.07.27,42.62,43.16,41.66,41.86,225,225,0
2016.07.28,41.88,42.18,41.02,41.07,152,152,0
2016.07.29,41.08,41.64,40.57,41.38,185,185,0
2016.08.01,41.31,41.85,39.81,40.03,281,281,0
2016.08.02,40.04,40.87,39.24,39.7,293,293,0
2016.08.03,39.69,41.9,39.37,41.86,290,290,0
2016.08.04,41.85,42.79,41.15,42.54,260,260,0
2016.08.05,42.55,42.82,41.8,42.71,189,189,0
2016.08.08,42.7,44.09,42.56,43.54,223,223,0
2016.08.09,43.53,44.19,43.18,43.47,197,197,0
2016.08.10,43.43,44.09,42.16,42.22,266,266,0
2016.08.11,42.2,44.56,41.84,44.12,353,353,0
2016.08.12,44.16,45.42,44.02,45.35,162,162,0
2016.08.15,45.37,46.56,45.04,46.32,210,210,0
2016.08.16,46.19,47.35,45.99,47.03,189,189,0
2016.08.17,47.01,47.61,46.49,47.58,168,168,0
2016.08.18,47.57,49.01,47.26,48.95,213,213,0
2016.08.19,48.91,49.33,48.53,49.04,148,148,0
2016.08.22,48.94,48.94,47.31,47.35,168,168,0
2016.08.23,47.37,48.29,46.58,47.55,325,325,0
2016.08.24,47.54,47.7,46.44,46.74,173,173,0
2016.08.25,46.76,47.43,46.41,47.34,147,147,0
2016.08.26,47.35,48.43,46.92,47.28,296,296,0
2016.08.29,47.17,47.24,46.61,46.92,102,102,0
2016.08.30,46.93,47.45,46.2,46.25,183,183,0
2016.08.31,46.05,46.38,44.49,44.79,253,253,0
2016.09.01,44.81,45.04,43,43.49,277,277,0
2016.09.02,43.5,44.64,43.15,44.18,231,231,0
2016.09.05,44.11,46.5,44.03,45.15,391,391,0
2016.09.06,45.01,45.58,43.83,44.86,336,336,0
2016.09.07,44.81,46.13,44.53,46.11,191,191,0
2016.09.08,46.1,47.72,45.76,47.27,276,276,0
2016.09.09,47.28,47.32,45.54,45.69,198,198,0
2016.09.12,45.58,46.49,44.71,46.04,311,311,0
2016.09.13,46.02,46.09,44.76,44.93,158,158,0
2016.09.14,44.95,45.31,43.4,43.62,250,250,0
2016.09.15,43.66,44.92,43.51,44.29,220,220,0
2016.09.16,44.3,44.31,43.34,43.75,140,140,0
2016.09.19,43.63,44.68,43.63,43.73,201,201,0
2016.09.20,43.7,44.55,43.05,44.4,231,231,0
2016.09.21,44.49,45.61,44.48,45.6,116,116,0
2016.09.22,45.59,46.5,45.5,46.06,154,154,0
2016.09.23,46.02,46.52,44.2,44.56,319,319,0
2016.09.26,44.63,46.18,44.43,45.59,255,255,0
2016.09.27,45.6,45.92,44.17,44.89,280,280,0
2016.09.28,44.95,47.4,44.34,47.09,399,399,0
2016.09.29,47.17,48.29,46.6,47.69,287,287,0
2016.09.30,47.73,48.26,47.03,48.01,219,219,0
2016.10.03,47.98,48.98,47.76,48.62,181,181,0
2016.10.04,48.64,49.22,48.25,49.16,143,143,0
2016.10.05,49.25,49.93,49.09,49.66,128,128,0
2016.10.06,49.61,50.58,49.31,50.55,161,161,0
2016.10.07,50.56,50.72,49.39,49.54,165,165,0
2016.10.10,49.55,51.56,49.12,51.13,331,331,0
2016.10.11,51.09,51.5,50.38,50.83,199,199,0
2016.10.12,50.82,51.54,50.36,50.44,199,199,0
2016.10.13,50.4,50.95,49.78,50.87,188,188,0
2016.10.14,51,51.48,50.3,50.71,208,208,0
2016.10.17,50.64,50.97,49.9,50.43,194,194,0
2016.10.18,50.44,51.06,50.12,51.04,129,129,0
2016.10.19,51.09,52.19,50.99,51.66,184,184,0
2016.10.20,51.55,51.79,50.44,50.59,175,175,0
2016.10.21,50.62,50.99,50.2,50.94,127,127,0
2016.10.24,50.87,50.96,49.62,50.46,228,228,0
2016.10.25,50.42,50.9,49.25,49.28,217,217,0
2016.10.26,49.3,50.07,48.87,49.19,230,230,0
